,Date,real_b,predict_b,se_b,real_g,predict_g,se_g,Iftrad
72,2016/11/22,736.97,739.9249887,10.62663671,1212.25,1221.740674,7.671889441,TRUE
73,2016/11/23,741.63,735.2394832,10.55858935,1185.35,1207.737269,8.294217202,TRUE
74,2016/11/24,737.45,741.2558846,10.51099304,1186.1,1175.003315,8.768475351,TRUE
75,2016/11/25,735.64,737.4881632,10.44892714,1187.7,1189.441001,8.969658514,TRUE
76,2016/11/26,733.67,736.7473507,10.38198355,,1187.68378,8.92455778,FALSE
77,2016/11/27,727.96,734.2719519,10.31945749,,1191.070445,15.11390497,FALSE
78,2016/11/28,727.31,729.4497269,10.27637309,1187,1186.990053,20.06343336,TRUE
79,2016/11/29,732.71,728.2777294,10.21372285,1186.55,1191.204691,9.215698369,TRUE
80,2016/11/30,742.69,731.670676,10.16118762,1178.1,1184.271446,8.716743482,TRUE
81,2016/12/1,742.05,739.943022,10.1719122,1161.85,1175.778382,8.60187224,TRUE
82,2016/12/2,772.43,740.6734511,10.11173591,1173.5,1159.42179,8.838366027,TRUE
83,2016/12/3,764.33,767.1424594,10.63536638,,1178.125448,8.9340894,FALSE
84,2016/12/4,762.97,762.4090868,10.57502272,,1175.78613,14.68298939,FALSE
85,2016/12/5,754.63,764.997901,10.51229742,1162.2,1176.666361,18.96425428,TRUE
86,2016/12/6,756.62,756.2483349,10.50481787,1172.5,1158.313674,9.008317806,TRUE
87,2016/12/7,758.99,757.1982369,10.44362652,1177.65,1177.057471,9.347112907,TRUE
88,2016/12/8,769.72,758.3442865,10.38509823,1171.05,1179.159567,9.177347059,TRUE
89,2016/12/9,770.02,767.4085287,10.39646881,1163.6,1171.293463,9.01302655,TRUE
90,2016/12/10,769.08,768.7575077,10.34104295,,1157.571664,8.664831864,FALSE
91,2016/12/11,777,769.0541681,10.28109928,,1156.249099,14.10400456,FALSE
92,2016/12/12,777,775.5151769,10.26071104,1156.1,1157.389271,18.48521098,TRUE
93,2016/12/13,777.99,776.1644296,10.20603837,1158.55,1159.929015,8.592418633,TRUE
94,2016/12/14,774.89,777.7645922,10.15285959,1162.25,1158.02879,9.02116945,TRUE
95,2016/12/15,776.75,775.3279613,10.10311985,1126.95,1161.073806,8.907187242,TRUE
96,2016/12/16,775.88,776.7111166,10.05100893,1131.6,1118.224723,9.654421776,TRUE
97,2016/12/17,788.7,775.8660084,9.999005227,,1135.312991,9.474548064,FALSE
98,2016/12/18,788.4,786.3203791,10.03163438,,1133.257862,14.48680168,FALSE
99,2016/12/19,788.67,787.1445826,9.982727213,1136.25,1142.836273,18.42090246,TRUE
100,2016/12/20,793.09,788.5185676,9.933262567,1125.7,1131.999446,9.206189427,TRUE
101,2016/12/21,824.21,792.1714078,9.894028824,1133.65,1124.258876,10.08049775,TRUE
102,2016/12/22,834.97,820.5686588,9.807099102,1131.35,1131.064321,9.955677024,TRUE
103,2016/12/23,901.31,831.3235831,9.8670403,,1133.648343,9.557752912,FALSE
104,2016/12/24,891.61,899.9943821,12.03430907,,1138.323771,14.95899211,FALSE
105,2016/12/25,892.6,901.2918649,11.99719861,,1136.731417,18.70522462,FALSE
106,2016/12/26,897.33,896.853416,11.96255216,,1133.912412,22.20894857,FALSE
107,2016/12/27,930.37,901.3625885,11.90623705,,1132.135584,24.21558929,FALSE
108,2016/12/28,930.34,931.1922598,12.13624517,1134.6,1134.212238,26.00057477,TRUE
109,2016/12/29,963.38,940.2307934,12.07983676,1145.9,1136.607111,10.01777237,TRUE
110,2016/12/30,952.15,964.332973,12.19215479,,1149.981762,10.00057146,FALSE
111,2016/12/31,958.12,967.37403,12.18491746,,1150.30736,14.78362438,FALSE
112,2017/1/1,997.72,958.1643275,12.16206468,,1149.499513,17.67519184,FALSE
