,Date,predicted_mean,se_mean,lower,upper
0,2016-10-01,1317.3103200388964,4.501177429525996,1308.488174389001,1326.1324656887919
1,2016-10-02,1310.5168125714622,7.434194385902647,1295.946059321023,1325.0875658219013
2,2016-10-03,1312.2384586868407,10.932265396208672,1290.8116122408383,1333.665305132843
3,2016-10-04,1318.766124024897,4.518678898239858,1309.9096761266458,1327.6225719231481
4,2016-10-05,1271.031912034036,8.9874475113127,1253.416838598919,1288.646985469153
5,2016-10-06,1273.138364684728,8.127630798870854,1234.7802568669235,1289.0682283301535
6,2016-10-07,1250.870968862616,8.209697791701258,1234.7802568669235,1266.9616808583087
7,2016-10-08,1250.870968862616,8.015193873019182,1253.4219192229211,1308.437153793958
8,2016-10-09,1282.1535786198706,13.410233749910217,1255.8700034457831,1308.437153793958
9,2016-10-10,1288.6084142763093,19.534062077715813,1250.3223561322166,1326.894472420402
10,2016-10-11,1251.9252357576092,8.49823879376971,1235.2689937897994,1268.581477725419
11,2016-10-12,1248.7991426464673,8.25120987738614,1232.6270684579092,1264.9712168350254
12,2016-10-13,1254.2046529488493,8.366774163024356,1237.8060769225413,1270.6032289751574
13,2016-10-14,1268.583823853856,7.582691121616487,1253.722022349596,1283.445625358116
14,2016-10-15,1247.2031421158852,7.644169135431943,1232.220845918706,1262.1854383130644
15,2016-10-16,1242.0658087273443,13.330479903844576,1215.938548219174,1268.1930692355147
16,2016-10-17,1238.387576278709,19.15341947314298,1200.8475639305607,1275.9275886268574
17,2016-10-18,1259.5650364712744,7.965556631859553,1243.9528323560155,1275.1772405865333
18,2016-10-19,1252.3054965420376,6.722881797745873,1239.128890346136,1265.4821027379394
19,2016-10-20,1271.0757503354803,8.05224042323754,1255.2936491110772,1286.8578515598833
20,2016-10-21,1270.9651291558368,8.085708955559761,1255.1174308134669,1286.8128274982068
21,2016-10-22,1266.1574984709066,7.620927398358193,1251.22075524133,1281.0942417004833
22,2016-10-23,1265.3338043597698,12.792138772516472,1240.261673080399,1290.4059356391406
23,2016-10-24,1265.2911344114482,17.72600109134901,1230.5488106824864,1300.03345814041
24,2016-10-25,1264.8825380206426,7.62287475846594,1249.9419780353899,1279.8230980058954
25,2016-10-26,1271.9081805008213,7.784596317965681,1256.6506520834255,1287.1657089182172
26,2016-10-27,1271.0606681601369,7.4975480161340435,1256.3657440761544,1285.7555922441193
27,2016-10-28,1265.1617841191305,7.535890007936886,1250.3917111121189,1279.9318571261422
28,2016-10-29,1272.640834104502,7.316450156435599,1258.3008553032057,1286.980812905798
29,2016-10-30,1273.483000737707,11.976626271658649,1250.0092445889597,1296.9567568864543
30,2016-10-31,1274.965970195273,16.455863357853517,1242.7130706793678,1307.2188697111783
31,2016-11-01,1272.070866297086,7.225720437471891,1257.9087144772861,1286.233018116886
32,2016-11-02,1288.6956248263955,7.846957921240317,1273.3158699125631,1304.0753797402278
33,2016-11-03,1308.3222466753687,7.581244557716997,1293.463280384253,1323.1812129664843
34,2016-11-04,1300.9055963804235,7.7829765839010125,1285.651242583459,1316.159950177388
35,2016-11-05,1306.842884001444,7.794332887311217,1291.5662722587979,1322.11949574409
36,2016-11-06,1308.1416142486696,12.820492925624245,1283.0139098503955,1333.2693186469437
37,2016-11-07,1305.200484495846,16.176427473589033,1273.4952692490872,1336.9056997426048
38,2016-11-08,1283.68893006054,7.609105119383034,1268.77535807197,1298.6025020491102
39,2016-11-09,1280.3753953435964,7.645977617903558,1265.3895545859061,1295.3612361012867
40,2016-11-10,1278.9194007527612,7.555943502997891,1264.110023617666,1293.7287778878565
41,2016-11-11,1266.3719135329995,7.549296742401231,1251.5755638092876,1281.1682632567115
42,2016-11-12,1221.1390996855125,8.360422072460356,1204.7529735279365,1237.5252258430885
43,2016-11-13,1213.5528018972489,14.525129892337315,1185.0840704375016,1242.021533356996
44,2016-11-14,1207.1713922223926,19.25341012655798,1169.43540179476,1244.907382650025
45,2016-11-15,1218.7188146545182,8.190492788283326,1202.6657437738477,1234.7718855351886
46,2016-11-16,1232.083488003305,8.450412366683976,1215.5209841100925,1248.6459918965177
47,2016-11-17,1228.210533527218,8.161470191348272,1212.2143458912783,1244.206721163158
48,2016-11-18,1222.8336986719014,8.226679261092658,1206.709703607797,1238.9576937360057
49,2016-11-19,1202.4045310127972,7.557971123539684,1187.5911798144657,1217.2178822111287
50,2016-11-20,1200.5363456458856,13.26186154591434,1174.5435746479368,1226.5291166438344
51,2016-11-21,1202.3936948029711,19.088185969155802,1164.981537773223,1239.8058518327193
52,2016-11-22,1221.7406742032122,7.671889440929408,1206.7040472056174,1236.777301200807
53,2016-11-23,1207.737268614686,8.29421720152781,1191.480901619739,1223.993635609633
54,2016-11-24,1175.0033153536974,8.76847535091922,1157.8174194665685,1192.1892112408264
55,2016-11-25,1189.441001148774,8.969658513648369,1171.8607935084,1207.0212087891477
56,2016-11-26,1187.6837803268293,8.924557780188753,1170.1919684997126,1205.175592153946
57,2016-11-27,1191.0704450547514,15.113904970321961,1161.4477356471596,1220.6931544623433
58,2016-11-28,1186.990053181603,20.06343335678794,1147.666446396079,1226.3136599671268
59,2016-11-29,1191.204690568098,9.215698368663125,1173.1422536731336,1209.2671274630623
60,2016-11-30,1184.2714461432854,8.7167434820776,1167.1869428559392,1201.3559494306317
61,2016-12-01,1175.778381696817,8.601872240298105,1158.9190219062177,1192.6377414874162
62,2016-12-02,1159.4217901129296,8.838366027491903,1142.098911016863,1176.7446692089961
63,2016-12-03,1178.1254478060798,8.934089399799674,1160.6149543478114,1195.6359412643483
