,Date,real_b,predict_b,se_b
0,2016-09-11,621.65,,
1,2016-09-12,609.67,,
2,2016-09-13,610.92,,
3,2016-09-14,608.82,,
4,2016-09-15,610.38,,
5,2016-09-16,609.11,,
6,2016-09-17,607.04,,
7,2016-09-18,611.58,,
8,2016-09-19,610.19,,
9,2016-09-20,608.66,,
10,2016-09-21,598.88,,
11,2016-09-22,597.42,,
12,2016-09-23,594.08,,
13,2016-09-24,603.88,,
14,2016-09-25,601.74,,
15,2016-09-26,598.98,,
16,2016-09-27,605.96,,
17,2016-09-28,605.67,,
18,2016-09-29,603.85,,
19,2016-09-30,609.39,,
20,2016-10-01,614.82,610.7469566918606,4.566727948122579
21,2016-10-02,612.98,615.646497265475,4.902385152862883
22,2016-10-03,611.85,611.458498189323,4.815709503988455
23,2016-10-04,609.62,611.2481573276825,4.705036679013204
24,2016-10-05,607.18,609.8321977465114,4.639982350821518
25,2016-10-06,612.08,607.1890760116647,4.477649193583764
26,2016-10-07,617.21,611.5443455860083,4.628694848310476
27,2016-10-08,614.74,615.894830824899,4.505926337436303
28,2016-10-09,615.65,615.3390596442803,4.444202313330392
29,2016-10-10,617.54,615.7847949404028,4.363833730468306
30,2016-10-11,614.77,617.1681328124968,4.296745300445423
31,2016-10-12,635.01,614.3085070095033,4.242492286170069
32,2016-10-13,635.96,631.0409460353943,5.566569419535444
33,2016-10-14,634.02,634.7768827719516,5.357142152065769
34,2016-10-15,637.94,636.4171061538527,5.225024150408383
35,2016-10-16,641.42,637.8482462140623,5.141172353173703
36,2016-10-17,638.97,639.4031816261263,5.160235900979873
37,2016-10-18,636.29,641.2602014389854,5.086164373876349
38,2016-10-19,629.25,636.1021281601968,5.038444192524316
39,2016-10-20,627.72,628.1173909633071,5.168977906418957
40,2016-10-21,631.92,628.2757459959507,5.100223059127766
41,2016-10-22,655.48,630.7080219885144,4.947473477306684
42,2016-10-23,653.25,652.6989636433693,5.959672017167518
43,2016-10-24,651.39,651.5715527527003,5.886308460703501
44,2016-10-25,655.31,650.6880451016954,5.815332788736407
45,2016-10-26,651.45,654.9032163949121,6.167528901727817
46,2016-10-27,682.22,651.0417876860846,6.1172830509311025
47,2016-10-28,687.68,675.9523675205401,7.375392904681005
48,2016-10-29,685.91,690.0216801935968,7.3957946492448965
49,2016-10-30,698.0,686.8544912772968,7.344179858065688
50,2016-10-31,702.0,692.9222750489787,7.103971031704872
51,2016-11-01,697.01,704.4940157506737,7.342330763742619
52,2016-11-02,733.33,696.4507957714873,7.370645769235928
53,2016-11-03,686.17,726.3267588177797,8.102014262217848
54,2016-11-04,683.69,710.6507163925095,9.369243986089751
55,2016-11-05,704.79,688.8331473658301,9.49337107726417
56,2016-11-06,712.0,681.895345423229,9.663629067009703
57,2016-11-07,709.96,706.8482018079985,10.51230607237531
58,2016-11-08,708.97,717.1293057344808,9.893360543161966
59,2016-11-09,720.93,709.7472800650278,10.338635869618537
60,2016-11-10,721.5,717.6095235671344,10.352780825652072
61,2016-11-11,715.45,719.1298131903792,10.278633638456089
62,2016-11-12,703.71,717.8411366180127,10.204056278957443
63,2016-11-13,702.28,707.766499381844,10.277472666041618
64,2016-11-14,706.46,704.6317688819113,10.218674372951783
65,2016-11-15,710.91,705.1547937995916,10.140866669071816
66,2016-11-16,711.73,709.1472942047426,10.087569505132882
67,2016-11-17,736.96,710.7816550179299,10.016244815304793
68,2016-11-18,747.52,731.0225183723383,10.439335766987432
69,2016-11-19,748.98,743.92780802354,10.525848687617577
70,2016-11-20,729.06,751.1550264573423,10.46565507113866
71,2016-11-21,738.53,732.2719719493692,10.67873307636757
72,2016-11-22,736.97,739.9249886562683,10.626636707169236
73,2016-11-23,741.63,735.2394832418512,10.558589351545844
74,2016-11-24,737.45,741.2558845696326,10.510993038599366
75,2016-11-25,735.64,737.4881632110121,10.44892713898234
76,2016-11-26,733.67,736.7473507346756,10.381983552929976
77,2016-11-27,727.96,734.2719519382722,10.319457488400236
78,2016-11-28,727.31,729.4497269187867,10.276373090559652
79,2016-11-29,732.71,728.2777294129097,10.21372284790458
80,2016-11-30,742.69,731.6706759929103,10.161187623535985
81,2016-12-01,742.05,739.9430219944368,10.171912202142414
82,2016-12-02,772.43,740.67345109192,10.111735914847166
83,2016-12-03,764.33,767.1424594334613,10.63536637872749
84,2016-12-04,762.97,762.4090868044188,10.575022718558822
85,2016-12-05,754.63,764.997900958313,10.5122974227338
86,2016-12-06,756.62,756.2483349294813,10.5048178730074
87,2016-12-07,758.99,757.1982368803411,10.443626522039349
88,2016-12-08,769.72,758.3442865318268,10.385098227621674
89,2016-12-09,770.02,767.4085287178525,10.3964688089643
90,2016-12-10,769.08,768.7575076519565,10.341042950797489
91,2016-12-11,777.0,769.0541681349602,10.281099275515494
92,2016-12-12,777.0,775.5151769224286,10.260711039657034
93,2016-12-13,777.99,776.1644295640647,10.206038368228194
94,2016-12-14,774.89,777.7645921903612,10.152859586880176
95,2016-12-15,776.75,775.3279612786184,10.103119850709195
96,2016-12-16,775.88,776.71111662537,10.051008934667237
97,2016-12-17,788.7,775.8660084252807,9.999005226895877
98,2016-12-18,788.4,786.3203791150162,10.031634381053617
99,2016-12-19,788.67,787.1445825756662,9.982727213262963
100,2016-12-20,793.09,788.5185675899772,9.933262567168367
101,2016-12-21,824.21,792.1714078052322,9.894028823861106
102,2016-12-22,834.97,820.5686588466672,9.80709910236531
103,2016-12-23,901.31,831.3235831394534,9.867040300378877
104,2016-12-24,891.61,899.9943821349208,12.034309069464419
