,Date,predicted_mean,se_mean,lower,upper
0,2016-10-01,1325.8009265642434,5.362011759813562,1315.2915766303286,1336.3102764981581
1,2016-10-02,1331.269491878794,7.773400788773653,1316.0339062954024,1346.5050774621857
2,2016-10-03,1337.4263822147188,9.57813636408693,1318.653579902095,1356.1991845273426
3,2016-10-04,1314.5034201378,5.4543128791062285,1303.813163334339,1325.1936769412612
4,2016-10-05,1285.3313403664051,9.714521734017078,1266.2912276407,1304.3714530921102
5,2016-10-06,1273.138364684728,8.127630798870854,1257.2085010393025,1289.0682283301535
6,2016-10-07,1250.870968862616,8.209697791701258,1234.7802568669235,1266.9616808583087
7,2016-10-08,1269.1314105431447,8.015193873019182,1253.4219192229211,1284.8409018633683
8,2016-10-09,1282.1535786198706,13.410233749910217,1255.8700034457831,1308.437153793958
9,2016-10-10,1288.6084142763093,19.534062077715813,1250.3223561322166,1326.894472420402
10,2016-10-11,1251.9252357576092,8.49823879376971,1235.2689937897994,1268.581477725419
11,2016-10-12,1251.3806738050416,8.4598925740438,1234.799589046838,1267.9617585632452
12,2016-10-13,1256.982000506299,8.328726713932708,1240.6579961099144,1273.3060049026838
13,2016-10-14,1264.8455513203123,7.818344273595506,1249.5218781253302,1280.1692245152944
14,2016-10-15,1245.928275954404,8.039032313258359,1230.172062149864,1261.684489758944
15,2016-10-16,1243.1549290463545,13.986585709998902,1215.741724788074,1270.568133304635
16,2016-10-17,1246.8478447256182,19.095986884768386,1209.420398182223,1284.2752912690135
17,2016-10-18,1254.4415393482552,8.78464337690294,1237.223954712497,1271.6591239840134
18,2016-10-19,1257.832857130903,8.16960023664781,1241.8207348989833,1273.8449793628226
19,2016-10-20,1273.841561018465,8.30924243751608,1257.5557451021216,1290.1273769348084
20,2016-10-21,1272.131922111606,8.11607428620196,1256.2247088147985,1288.0391354084134
21,2016-10-22,1261.5182625106063,7.762530172964178,1246.303982942691,1276.7325420785216
22,2016-10-23,1262.568206673143,13.351588403378193,1236.399574266119,1288.736839080167
23,2016-10-24,1263.9226423058547,17.926165738463553,1228.7880030775702,1299.057281534139
24,2016-10-25,1264.2861442253381,8.370090424014693,1247.8810684469258,1280.6912200037505
25,2016-10-26,1270.9043552168907,8.050739576118978,1255.1251955987864,1286.683514834995
26,2016-10-27,1270.9284386413915,7.765512368342432,1255.70831407794,1286.148563204843
27,2016-10-28,1263.4656321039681,7.559931946080399,1248.6484377640768,1278.2828264438594
28,2016-10-29,1272.7156832249716,7.424657345941962,1258.1636222293746,1287.2677442205686
29,2016-10-30,1275.0095347868594,11.547531041470736,1252.3767898352185,1297.6422797385003
30,2016-10-31,1276.5797083890645,16.458201787441215,1244.322225635387,1308.837191142742
31,2016-11-01,1270.8269716390403,7.45359712260058,1256.2181897234718,1285.4357535546087
32,2016-11-02,1292.2415866409758,8.05527632899527,1276.453535150627,1308.0296381313246
33,2016-11-03,1306.555880598227,7.923053910253407,1291.0269802865612,1322.084780909893
34,2016-11-04,1297.3939443435686,7.859850188673463,1281.9889210498882,1312.798967637249
35,2016-11-05,1304.5818529636401,7.709421699327577,1289.4716640913266,1319.6920418359537
36,2016-11-06,1306.3098927613369,12.948678594099707,1280.9309490695166,1331.6888364531571
37,2016-11-07,1304.1396571024834,16.737483051948086,1271.3347931288156,1336.9445210761512
38,2016-11-08,1283.072182440574,8.279473999042601,1266.8447115915146,1299.2996532896332
39,2016-11-09,1282.7037139901724,7.921495687265335,1267.177867739443,1298.229560240902
40,2016-11-10,1280.5653155605303,7.814574595991327,1265.2490307978856,1295.881600323175
41,2016-11-11,1263.4192921311253,7.969879216244109,1247.7986159061525,1279.0399683560981
42,2016-11-12,1223.6699771531305,8.634554860034386,1206.7465606049277,1240.5933937013333
43,2016-11-13,1221.4917449121506,15.260908525929947,1191.5809138299676,1251.4025759943336
44,2016-11-14,1219.897654200697,20.13167622687903,1180.4402938475928,1259.355014553801
45,2016-11-15,1213.318841230625,9.08686385333191,1195.5089153456754,1231.1287671155744
46,2016-11-16,1232.1029008883095,8.862113923682301,1214.7334767710013,1249.4723250056177
47,2016-11-17,1228.8591804477119,8.258395810661737,1212.6730220887384,1245.0453388066853
48,2016-11-18,1222.221839285393,8.323910114850337,1205.9072752497375,1238.5364033210483
49,2016-11-19,1206.3423210098495,8.114840444601308,1190.4375259981418,1222.247116021557
50,2016-11-20,1205.747426650028,15.012808080312798,1176.322863505803,1235.171989794253
51,2016-11-21,1207.6547536893058,20.660682329267786,1167.160560427918,1248.1489469506937
52,2016-11-22,1213.9402978790242,9.369687038489177,1195.5760487371738,1232.3045470208747
53,2016-11-23,1211.020459069516,8.460781359111786,1194.437632324589,1227.6032858144429
54,2016-11-24,1175.2742875185318,9.217329571030831,1157.2086535256753,1193.3399215113882
55,2016-11-25,1188.4539826982784,9.35216560296104,1170.1240749390204,1206.7838904575365
56,2016-11-26,1186.1726067556976,9.242091556062338,1168.0584401639937,1204.2867733474015
57,2016-11-27,1187.386968486042,15.508350433534941,1156.9911601766873,1217.7827767953966
58,2016-11-28,1186.376417504808,19.833403233093275,1147.5036614770847,1225.2491735325311
59,2016-11-29,1187.8875063473797,9.516450108588199,1169.2356068738745,1206.539405820885
