,Date,Value
0,2016-09-29,601.5906451170239
1,2016-09-30,600.9622027150347
2,2016-10-01,605.5717617902758
3,2016-10-02,612.7475476174703
4,2016-10-03,611.6523216173617
5,2016-10-04,610.5614446627739
6,2016-10-05,608.635126438045
7,2016-10-06,606.3385189995661
8,2016-10-07,610.5118939379984
9,2016-10-08,615.8026000383951
10,2016-10-09,614.000476502971
11,2016-10-10,614.8439372766384
12,2016-10-11,616.7397069172273
13,2016-10-12,614.4819530673574
14,2016-10-13,630.4054966584359
15,2016-10-14,635.334226595121
16,2016-10-15,634.0157201565249
17,2016-10-16,636.2919116713016
18,2016-10-17,639.3268528757332
19,2016-10-18,641.9989280352646
20,2016-10-19,636.9717873246135
21,2016-10-20,628.9743357160085
22,2016-10-21,628.3117581715604
23,2016-10-22,631.473472662246
24,2016-10-23,656.1022351828119
25,2016-10-24,652.189864508077
26,2016-10-25,651.1835464815083
27,2016-10-26,654.8910820125203
28,2016-10-27,651.2970551588496
29,2016-10-28,678.673206943975
30,2016-10-29,688.2854959766202
31,2016-10-30,685.9626524480391
32,2016-10-31,694.6202811141833
33,2016-11-01,704.6880376962482
34,2016-11-02,699.5963071956116
35,2016-11-03,728.8949749819783
36,2016-11-04,712.4286322806848
37,2016-11-05,688.8869073441585
38,2016-11-06,682.8886763255688
39,2016-11-08,711.1176973371926
40,2016-11-09,715.0612988206329
41,2016-11-10,719.6354468459986
42,2016-11-11,721.0324304056273
43,2016-11-12,720.1880186646904
44,2016-11-13,711.2323567889888
45,2016-11-14,708.0436202859416
46,2016-11-15,707.9429316144056
47,2016-11-16,711.2810093271252
48,2016-11-17,712.6540651967945
49,2016-11-18,731.6479226167271
50,2016-11-19,741.7368555275322
51,2016-11-20,749.9588012247116
52,2016-11-21,733.8511964114003
53,2016-11-22,742.6880913861025
54,2016-11-23,738.78910484423
55,2016-11-24,743.8168531702894
56,2016-11-25,740.2012477361309
57,2016-11-26,739.603143179435
58,2016-11-27,737.2992377356213
59,2016-11-28,732.6008425344961
60,2016-11-29,731.2126522253072
61,2016-11-30,734.36985178883
62,2016-12-01,742.0701283507224
63,2016-12-02,742.4040422508906
64,2016-12-03,766.2386119354345
65,2016-12-04,763.7990040552268
66,2016-12-05,763.8354737767738
67,2016-12-06,758.1003595200887
68,2016-12-07,759.2268707423259
69,2016-12-08,761.0571600142823
70,2016-12-09,769.2422116885048
71,2016-12-10,771.6247679898319
72,2016-12-11,770.6478670844267
73,2016-12-12,776.8956437581754
74,2016-12-13,777.9337876521405
75,2016-12-14,779.2782446014971
76,2016-12-15,777.5128391074093
77,2016-12-16,778.9358144135552
78,2016-12-17,778.544469865257
79,2016-12-18,788.0436781661112
80,2016-12-19,789.1012588863568
81,2016-12-20,790.008179612838
82,2016-12-21,793.7778459775822
83,2016-12-22,817.6081344895016
84,2016-12-23,830.2310883389448
85,2016-12-24,896.2080324666344
86,2016-12-25,898.0685252662499
87,2016-12-26,889.8904589042062
88,2016-12-27,898.5925197018031
89,2016-12-28,927.61742300291
90,2016-12-29,936.5061085625741
91,2016-12-30,958.9491088889677
92,2016-12-31,962.6107219227413
93,2017-01-01,954.8861465513734
94,2017-01-05,1118.6379662637473
95,2017-01-06,1069.0171947760366
96,2017-01-07,1032.823556932487
97,2017-01-08,951.1986956896371
98,2017-01-09,918.8145553720201
99,2017-01-11,906.4235300981254
100,2017-01-12,826.9730601383496
101,2017-01-13,747.7282409815906
102,2017-01-14,848.8343060541595
103,2017-01-15,817.9842969319079
104,2017-01-16,831.3037615092447
105,2017-01-17,831.7861197267857
106,2017-01-18,897.4870778328128
107,2017-01-19,914.1918858958197
108,2017-01-20,897.3386317438702
109,2017-01-21,899.4506190835166
110,2017-01-22,897.9938615107098
111,2017-01-23,919.2180537329552
112,2017-01-24,925.2046168901658
113,2017-01-25,922.4091445747086
114,2017-01-26,901.6694949510994
115,2017-01-27,913.7939093694698
116,2017-01-28,922.6981150597521
117,2017-01-29,920.0508261627056
118,2017-01-30,923.0231226437489
119,2017-01-31,914.7155719667699
120,2017-02-01,959.416892163151
121,2017-02-02,980.8734439102557
122,2017-02-03,981.1979457349983
123,2017-02-04,1008.4740409306335
124,2017-02-05,1027.3691241056042
125,2017-02-06,1031.2874025978829
126,2017-02-07,1023.4551449640412
127,2017-02-08,1043.1144155496133
128,2017-02-09,1052.6288659151403
129,2017-02-10,985.543580477094
130,2017-02-11,992.8109488583617
131,2017-02-12,1004.634694027252
132,2017-02-13,997.608835120812
133,2017-02-14,1005.0317446683276
134,2017-02-15,1000.5456238241246
135,2017-02-16,1014.1701410764682
136,2017-02-17,1031.6799860593844
137,2017-02-18,1037.3080228977692
138,2017-02-19,1051.0939105514674
139,2017-02-20,1055.3275410515373
140,2017-02-21,1048.2496776346654
141,2017-02-22,1111.4263781321833
142,2017-02-23,1123.0199410635007
143,2017-02-24,1121.3278923744447
144,2017-02-25,1167.2876410189067
145,2017-02-26,1150.1917718629961
146,2017-02-27,1143.6731010448666
147,2017-02-28,1183.5961273253447
148,2017-03-01,1185.2309236664523
149,2017-03-02,1185.3569463345566
150,2017-03-03,1249.6455856902962
151,2017-03-04,1284.5451387994844
152,2017-03-05,1284.0837167462632
153,2017-03-06,1271.742985915539
154,2017-03-07,1271.4161669996977
155,2017-03-08,1279.690275358613
156,2017-03-09,1171.45292692336
157,2017-03-10,1182.0931055847516
158,2017-03-11,1178.2992738404578
159,2017-03-12,1174.0225218812943
160,2017-03-13,1223.1121168612376
161,2017-03-14,1235.9892219401813
162,2017-03-15,1256.148837076865
