,Date,Value
0,2016-10-10,1258.6441321844336
1,2016-10-11,1257.7804596001872
2,2016-10-12,1248.9047657987712
3,2016-10-13,1255.9058937673894
4,2016-10-14,1261.1450448154055
5,2016-10-17,1245.9916451145857
6,2016-10-18,1254.1181232004549
7,2016-10-19,1257.6462445937532
8,2016-10-20,1271.9452994178812
9,2016-10-21,1271.4106920370318
10,2016-10-24,1262.5745565384705
11,2016-10-25,1264.2309915542191
12,2016-10-26,1269.7219978301064
13,2016-10-27,1269.7095695025955
14,2016-10-28,1263.4517439048122
15,2016-10-31,1274.6010958180525
16,2016-11-01,1270.507564907716
17,2016-11-02,1293.451683920506
18,2016-11-03,1309.8946635752536
19,2016-11-04,1299.227890452668
20,2016-11-07,1303.1115328140527
21,2016-11-08,1275.563156502597
22,2016-11-09,1281.050341826189
23,2016-11-10,1280.379963192843
24,2016-11-11,1262.3510473304104
25,2016-11-14,1222.858880318145
26,2016-11-15,1201.655293439285
27,2016-11-16,1232.3833997810207
28,2016-11-17,1227.0788982398644
29,2016-11-18,1224.5892750916667
30,2016-11-21,1203.6013741611334
31,2016-11-22,1214.9074441679718
32,2016-11-23,1209.6100789920943
33,2016-11-24,1174.3813592933523
34,2016-11-25,1188.1973191687532
35,2016-11-28,1181.8554806266575
36,2016-11-29,1188.290545619484
37,2016-11-30,1181.0224745732776
38,2016-12-01,1176.8961973289993
39,2016-12-02,1155.1530790431304
40,2016-12-05,1178.3623042341387
41,2016-12-06,1151.7419691879832
42,2016-12-07,1172.991718454082
43,2016-12-08,1176.2987127606823
44,2016-12-09,1167.5588623712467
45,2016-12-12,1160.3096432709372
46,2016-12-13,1152.6335899758526
47,2016-12-14,1157.3457345805907
48,2016-12-15,1160.7949996518978
49,2016-12-16,1117.7077936458852
50,2016-12-19,1133.1396089673015
51,2016-12-20,1131.2022951897936
52,2016-12-21,1123.8308193581463
53,2016-12-22,1131.281588858954
54,2016-12-28,1128.5192347225645
55,2016-12-29,1132.7738563153578
56,2017-01-03,1144.6782585313733
57,2017-01-04,1148.8958169276011
58,2017-01-05,1164.4039959780332
59,2017-01-06,1175.417396573143
60,2017-01-09,1173.6660677073075
61,2017-01-10,1177.6595633867041
62,2017-01-11,1189.2937318503054
63,2017-01-12,1174.1105375464822
64,2017-01-13,1206.785415390176
65,2017-01-16,1189.2170267589713
66,2017-01-17,1203.111744464421
67,2017-01-18,1217.2593437919338
68,2017-01-19,1215.1218613626245
69,2017-01-20,1194.1209495329301
70,2017-01-23,1199.3405672209326
71,2017-01-24,1212.7020427835407
72,2017-01-25,1216.7672373127582
73,2017-01-26,1192.1389243944739
74,2017-01-27,1188.9095567780498
75,2017-01-30,1182.7834400064526
76,2017-01-31,1192.2607502329547
77,2017-02-01,1212.600834066002
78,2017-02-02,1201.3939710824313
79,2017-02-03,1222.2472941535366
80,2017-02-06,1214.6584615286863
81,2017-02-07,1226.8720587060582
82,2017-02-08,1231.1863423010664
83,2017-02-09,1242.9291453079359
84,2017-02-10,1236.78318410273
85,2017-02-13,1227.4892639236673
86,2017-02-14,1221.0440365355305
87,2017-02-15,1230.2304846182888
88,2017-02-16,1223.4398192166539
89,2017-02-17,1240.5962277789379
90,2017-02-20,1241.911323880046
91,2017-02-21,1236.8314011583197
92,2017-02-22,1232.4517018640397
93,2017-02-23,1236.123100371628
94,2017-02-24,1247.9911060490053
95,2017-02-27,1252.695724243544
96,2017-02-28,1257.5346351362007
97,2017-03-01,1254.7251843033318
98,2017-03-02,1239.3774186878957
99,2017-03-03,1237.0630780932304
100,2017-03-06,1224.865437889825
101,2017-03-07,1229.8920123252508
102,2017-03-08,1214.873519473772
103,2017-03-09,1207.2395991900328
104,2017-03-10,1204.7774824606317
105,2017-03-13,1200.9204188173392
106,2017-03-14,1202.8620884262018
107,2017-03-15,1203.4624028231046
108,2017-03-16,1197.4086913648548
109,2017-03-17,1228.0683009521526
110,2017-03-20,1229.798738895246
111,2017-03-21,1232.5230120110668
112,2017-03-22,1242.1233543191574
113,2017-03-23,1249.8027628244563
114,2017-03-24,1247.7399221104242
115,2017-03-27,1247.5120136735156
116,2017-03-28,1258.1316629667826
117,2017-03-29,1257.507286026531
118,2017-03-30,1250.7255770611782
119,2017-03-31,1248.2529167351295
120,2017-04-03,1244.073458133478
121,2017-04-04,1246.7327213797107
122,2017-04-05,1257.8231805588584
123,2017-04-06,1245.0609795071075
124,2017-04-07,1251.6726984419663
125,2017-04-10,1266.9949833753483
126,2017-04-11,1249.3933776268932
127,2017-04-12,1252.4582550445975
128,2017-04-13,1273.6243666468945
129,2017-04-18,1285.180104211944
130,2017-04-19,1279.2856285959163
131,2017-04-20,1279.2261986051565
132,2017-04-21,1282.3271820919733
133,2017-04-24,1281.9364775810157
134,2017-04-25,1268.7359571293619
135,2017-04-26,1267.1565260430377
136,2017-04-27,1260.9871859828388
137,2017-04-28,1262.1454943451781
138,2017-05-02,1266.0784721696878
139,2017-05-03,1254.5403527989592
140,2017-05-04,1249.274954075471
141,2017-05-05,1226.2899866965483
142,2017-05-08,1226.3882669232305
143,2017-05-09,1228.6073075880488
144,2017-05-10,1218.8469720310611
145,2017-05-11,1221.861049163096
146,2017-05-12,1222.246068638654
147,2017-05-15,1230.92927217192
148,2017-05-16,1233.0552691001747
149,2017-05-17,1233.943549984119
150,2017-05-18,1258.4910180652291
151,2017-05-19,1256.4165387564835
152,2017-05-22,1252.00502302569
153,2017-05-23,1259.146821205774
154,2017-05-24,1260.386745954283
155,2017-05-25,1252.136800385752
156,2017-05-26,1256.8070259961507
157,2017-05-30,1265.3090893359215
158,2017-05-31,1262.6587606045566
159,2017-06-01,1266.2797035304295
160,2017-06-02,1264.7464914242314
161,2017-06-05,1275.3632940438229
162,2017-06-06,1280.470653627466
163,2017-06-07,1294.6813152461862
164,2017-06-08,1291.6094780872932
165,2017-06-09,1272.4276182544834
166,2017-06-12,1265.6200638162722
167,2017-06-13,1265.6799251701916
168,2017-06-14,1261.1741376713012
169,2017-06-15,1275.587256237827
170,2017-06-16,1253.4988668378417
171,2017-06-19,1254.619214081458
172,2017-06-20,1247.1465624264695
173,2017-06-21,1241.0825193296762
174,2017-06-22,1241.6302519673782
175,2017-06-23,1250.5043997496275
