,Date,Value
187,2017-04-06,1125.327969
188,2017-04-07,1128.707536
189,2017-04-08,1197.491906
190,2017-04-09,1178.642013
191,2017-04-10,1179.982792
192,2017-04-11,1207.161747
193,2017-04-12,1226.165999
194,2017-04-13,1215.68278
195,2017-04-14,1175.623041
196,2017-04-15,1189.465893
197,2017-04-16,1174.914113
198,2017-04-17,1191.935151
199,2017-04-18,1206.356529
200,2017-04-19,1170.001458
201,2017-04-20,1217.872336
202,2017-04-21,1241.339622
203,2017-04-22,1232.456627
204,2017-04-23,1260.163944
205,2017-04-24,1255.558447
206,2017-04-25,1238.697092
207,2017-04-26,1283.610964
208,2017-04-27,1310.693415
209,2017-04-28,1281.421899
210,2017-04-29,1329.896296
211,2017-04-30,1331.87023
212,2017-05-01,1330.347096
213,2017-05-02,1421.88948
214,2017-05-03,1449.666688
215,2017-05-04,1437.13922
216,2017-05-05,1505.657729
217,2017-05-06,1531.869202
218,2017-05-07,1514.91708
219,2017-05-08,1536.53255
220,2017-05-09,1648.396568
221,2017-05-10,1646.395951
222,2017-05-11,1765.794121
223,2017-05-12,1817.08467
224,2017-05-13,1831.550125
225,2017-05-14,1761.112381
226,2017-05-15,1777.008283
227,2017-05-16,1788.363835
228,2017-05-17,1738.944418
229,2017-05-18,1809.763183
230,2017-05-19,1780.135905
231,2017-05-20,1967.272147
232,2017-05-21,2075.477935
233,2017-05-22,2008.045018
234,2017-05-23,2094.988574
235,2017-05-24,2326.395037
236,2017-05-25,2272.849948
237,2017-05-26,2420.339354
238,2017-05-27,2192.656299
239,2017-05-28,2289.13144
240,2017-05-29,2205.255094
241,2017-05-30,2256.329091
242,2017-05-31,2335.847241
243,2017-06-01,2295.015264
244,2017-06-02,2394.185672
245,2017-06-03,2415.561556
246,2017-06-04,2527.937163
247,2017-06-05,2525.828345
248,2017-06-06,2524.614277
249,2017-06-07,2884.607736
250,2017-06-08,2753.064445
251,2017-06-09,2664.529836
252,2017-06-10,2786.151459
253,2017-06-11,2875.157737
254,2017-06-12,2927.298914
255,2017-06-13,2728.886942
256,2017-06-14,2771.224426
257,2017-06-15,2738.141582
258,2017-06-16,2456.155807
259,2017-06-17,2477.970029
260,2017-06-18,2471.372208
261,2017-06-19,2491.55443
262,2017-06-20,2552.648658
263,2017-06-21,2667.830754
264,2017-06-22,2608.378374
265,2017-06-23,2744.413992
266,2017-06-24,2729.808242
267,2017-06-25,2611.608038
268,2017-06-26,2545.70713
269,2017-06-27,2466.997464
270,2017-06-28,2571.472979
271,2017-06-29,2528.500304
272,2017-06-30,2602.614123
273,2017-07-01,2497.552328
274,2017-07-02,2474.958349
275,2017-07-03,2449.366764
276,2017-07-04,2541.351353
277,2017-07-05,2597.072444
278,2017-07-06,2606.886258
279,2017-07-07,2612.926062
280,2017-07-08,2534.320899
281,2017-07-09,2483.212767
282,2017-07-10,2526.461098
283,2017-07-11,2389.018289
284,2017-07-12,2329.328418
285,2017-07-13,2369.940209
286,2017-07-14,2353.748459
287,2017-07-15,2343.957243
288,2017-07-16,2088.716387
289,2017-07-17,1930.960755
290,2017-07-18,1891.960239
291,2017-07-19,2295.869525
292,2017-07-20,2252.985838
293,2017-07-21,2261.814063
294,2017-07-22,2610.645136
295,2017-07-23,2841.714081
296,2017-07-24,2823.450887
297,2017-07-24,2751.821029
298,2017-07-26,2620.200912
299,2017-07-27,2511.44245
300,2017-07-28,2671.864331
301,2017-07-29,2773.942898
302,2017-07-30,2762.398685
303,2017-07-31,2787.88343
304,2017-08-01,2815.253163
305,2017-08-02,2894.172795
306,2017-08-03,2699.713535
307,2017-08-04,2766.908963
308,2017-08-05,2815.862427
309,2017-08-06,3161.702116
310,2017-08-07,3262.121295
311,2017-08-08,3246.633621
312,2017-08-09,3382.997772
313,2017-08-10,3422.113914
314,2017-08-11,3317.170284
315,2017-08-12,3580.057518
316,2017-08-13,3886.572011
317,2017-08-14,3835.538788
318,2017-08-15,4302.428028
319,2017-08-16,4194.829724
320,2017-08-17,4203.261136
321,2017-08-18,4308.960382
322,2017-08-19,4131.732095
323,2017-08-20,4136.528213
324,2017-08-21,4109.865502
325,2017-08-22,4088.996887
326,2017-08-23,3963.146021
327,2017-08-24,4177.684641
328,2017-08-25,4343.751581
329,2017-08-26,4313.877163
330,2017-08-27,4386.237837
331,2017-08-28,4327.038345
332,2017-08-29,4360.937205
333,2017-08-30,4600.264008
334,2017-08-31,4574.686713
335,2017-09-01,4621.346888
336,2017-09-02,4873.393621
337,2017-09-03,4590.61789
338,2017-09-04,4627.673468
339,2017-09-05,4278.026879
340,2017-09-06,4571.533048
341,2017-09-07,4451.108836
342,2017-09-08,4637.593943
343,2017-09-09,4282.784875
344,2017-09-10,4347.566691
345,2017-09-11,4326.749184
346,2017-09-12,4221.026421
347,2017-09-13,4225.263897
348,2017-09-14,3977.239694
349,2017-09-15,3375.036885
350,2017-09-16,3201.581424
351,2017-09-17,3632.573426
352,2017-09-18,3774.255933
353,2017-09-19,3779.441882
354,2017-09-20,3823.830196
355,2017-09-21,3970.338312
356,2017-09-22,4008.489586
357,2017-09-23,3555.306309
358,2017-09-24,3763.460067
359,2017-09-25,3855.086294
360,2017-09-26,3873.472619
361,2017-09-27,3895.973786
362,2017-09-28,3962.285375
363,2017-09-29,4125.890379
364,2017-09-30,4168.707936
365,2017-10-01,4252.785397
366,2017-10-02,4288.954583
367,2017-10-03,4351.722598
