,Date,Value
0,2016-10-07,1271.6521701917234
1,2016-10-10,1254.8197021344422
2,2016-10-11,1248.3104568407734
3,2016-10-12,1257.5974505136112
4,2016-10-13,1272.098080922593
5,2016-10-14,1245.0098216035028
6,2016-10-17,1255.8415914167974
7,2016-10-18,1258.0568899056298
8,2016-10-19,1277.6342758152027
9,2016-10-20,1270.0437415991837
10,2016-10-21,1263.7229855963576
11,2016-10-24,1266.3492973709133
12,2016-10-25,1273.3985700739738
13,2016-10-26,1271.3769641286583
14,2016-10-27,1262.9624422433574
15,2016-10-28,1276.6370269189997
16,2016-10-31,1274.7882724267554
17,2016-11-01,1293.3656838239658
18,2016-11-02,1309.313519781496
19,2016-11-03,1304.797067393767
20,2016-11-04,1296.1868239753956
21,2016-11-07,1274.0423865097173
22,2016-11-08,1287.1733553151244
23,2016-11-09,1279.549558486228
24,2016-11-10,1266.1478744399599
25,2016-11-11,1214.7747576557845
26,2016-11-14,1203.69666370112
27,2016-11-15,1246.573432950781
28,2016-11-16,1235.5968530123296
29,2016-11-17,1224.1268241505595
30,2016-11-18,1205.2407158032963
31,2016-11-21,1224.5427244595874
32,2016-11-22,1209.5961365050841
33,2016-11-23,1165.86520829811
34,2016-11-24,1187.154932961584
35,2016-11-25,1192.0942863981325
36,2016-11-28,1185.1302936151956
37,2016-11-29,1183.6372022844594
38,2016-11-30,1178.991669240704
39,2016-12-01,1150.6832288013077
40,2016-12-02,1184.1602748599996
41,2016-12-05,1157.1754306620478
42,2016-12-06,1178.0217059127406
43,2016-12-07,1173.173574232778
44,2016-12-08,1177.5972895005436
45,2016-12-09,1163.352689248861
46,2016-12-12,1151.527401433883
47,2016-12-13,1163.8484724526022
48,2016-12-14,1158.7239799462504
49,2016-12-15,1111.4744687430637
50,2016-12-16,1132.3640436553173
51,2016-12-19,1137.554043616932
52,2016-12-20,1122.599366280238
53,2016-12-21,1133.3848683716544
54,2016-12-22,1134.7721071521078
55,2016-12-23,1134.4008852712382
56,2016-12-28,1130.9658686558837
57,2016-12-29,1148.3614460330382
58,2016-12-30,1150.3423633243906
59,2017-01-03,1147.3171709028406
60,2017-01-04,1166.394010434906
61,2017-01-05,1181.0250100844332
62,2017-01-06,1177.7415489145583
63,2017-01-09,1178.6757951059017
64,2017-01-10,1192.0259048109206
65,2017-01-11,1177.354847809626
66,2017-01-12,1211.3171415709978
67,2017-01-13,1189.671839483895
68,2017-01-16,1199.1172406592573
69,2017-01-17,1211.8541256615733
70,2017-01-18,1220.223110513422
71,2017-01-19,1193.437458870943
72,2017-01-20,1201.7349029264824
73,2017-01-23,1210.447087279141
74,2017-01-24,1216.819453103402
75,2017-01-25,1190.7062685682472
76,2017-01-26,1194.415557170554
77,2017-01-27,1189.3573403594285
78,2017-01-30,1185.2215031485457
79,2017-01-31,1211.3947936835855
80,2017-02-01,1201.504461669431
81,2017-02-02,1221.0978582026244
82,2017-02-03,1214.0464286016136
83,2017-02-06,1228.0119022958727
84,2017-02-07,1235.7176287647183
85,2017-02-08,1241.6501650939954
86,2017-02-09,1236.2424496987483
87,2017-02-10,1227.7852446324412
88,2017-02-13,1223.962962449025
89,2017-02-14,1228.6672072238066
90,2017-02-15,1224.614300502595
91,2017-02-16,1240.2539133298499
92,2017-02-17,1244.6418792556526
93,2017-02-20,1236.1985925972722
94,2017-02-21,1231.9768671958059
95,2017-02-22,1239.4669210905706
96,2017-02-23,1249.4090595023908
97,2017-02-24,1251.715003968577
98,2017-02-27,1257.3655231584555
99,2017-02-28,1259.3428569275166
100,2017-03-01,1240.4817559854312
101,2017-03-02,1234.70671024905
102,2017-03-03,1228.5759091661566
103,2017-03-06,1231.8937128040902
104,2017-03-07,1213.3562915702284
105,2017-03-08,1205.0245696011264
106,2017-03-09,1208.422442309754
107,2017-03-10,1202.5490166769248
108,2017-03-13,1198.6988393174977
109,2017-03-14,1204.3634917833558
110,2017-03-15,1201.7254408734805
111,2017-03-16,1226.9090855119134
112,2017-03-17,1231.7807270284416
113,2017-03-20,1232.627526269967
114,2017-03-21,1243.4181538117548
115,2017-03-22,1253.0174950765104
116,2017-03-23,1248.1866111650227
117,2017-03-24,1245.9970109771837
118,2017-03-27,1260.8077052214924
119,2017-03-28,1260.8035882797274
120,2017-03-29,1250.1918636352066
121,2017-03-30,1248.546804082931
122,2017-03-31,1244.99362162659
123,2017-04-03,1247.2093660251387
124,2017-04-04,1257.189049472345
125,2017-04-05,1245.7663835497747
126,2017-04-06,1253.6082376399097
127,2017-04-07,1267.0118465251178
